FIPS_STATE,INSURANCE,RACECAT,prev_cnt,mort_cnt
1.0,1.0,1.0,64109.0,12521.0
1.0,1.0,2.0,12931.0,2555.0
1.0,1.0,3.0,175.0,29.0
1.0,1.0,4.0,265.0,35.0
1.0,1.0,5.0,489.0,81.0
2.0,1.0,1.0,6465.0,1023.0
4.0,1.0,0.0,572.0,47.0
4.0,1.0,1.0,62745.0,10993.0
4.0,1.0,2.0,1764.0,304.0
4.0,1.0,3.0,542.0,71.0
4.0,1.0,4.0,908.0,137.0
4.0,1.0,5.0,5430.0,870.0
4.0,1.0,6.0,3093.0,688.0
5.0,1.0,1.0,56562.0,10300.0
5.0,1.0,2.0,5399.0,1088.0
5.0,1.0,4.0,242.0,42.0
5.0,1.0,5.0,598.0,89.0
5.0,1.0,6.0,222.0,42.0
6.0,1.0,0.0,5130.0,349.0
6.0,1.0,1.0,246438.0,42239.0
6.0,1.0,2.0,22194.0,4215.0
6.0,1.0,3.0,6412.0,1039.0
6.0,1.0,4.0,49905.0,7690.0
6.0,1.0,5.0,60989.0,10240.0
6.0,1.0,6.0,1560.0,293.0
8.0,1.0,0.0,545.0,39.0
8.0,1.0,1.0,44926.0,7880.0
8.0,1.0,2.0,1617.0,302.0
8.0,1.0,3.0,367.0,56.0
8.0,1.0,4.0,676.0,94.0
8.0,1.0,5.0,4440.0,774.0
8.0,1.0,6.0,166.0,22.0
9.0,1.0,0.0,556.0,59.0
9.0,1.0,1.0,44107.0,9377.0
9.0,1.0,3.0,366.0,66.0
9.0,1.0,4.0,656.0,119.0
9.0,1.0,5.0,2980.0,487.0
10.0,1.0,1.0,14568.0,2763.0
10.0,1.0,5.0,373.0,54.0
11.0,1.0,1.0,2927.0,528.0
11.0,1.0,2.0,6562.0,1340.0
11.0,1.0,5.0,320.0,49.0
12.0,1.0,0.0,2845.0,242.0
12.0,1.0,1.0,282203.0,49216.0
12.0,1.0,2.0,26801.0,5315.0
12.0,1.0,3.0,2174.0,320.0
12.0,1.0,4.0,3476.0,535.0
12.0,1.0,5.0,39111.0,6723.0
