severity_tier,high_black_zip,n,mean,median,std
High,0,42358,444.3391094952547,384.0,313.16251303152865
High,1,44212,479.6402560390844,416.0,344.61896273121465
Low,0,74571,827.4038701371846,587.0,796.9335887339633
Low,1,77693,959.8199837823228,668.0,914.6194072808147
Medium,0,67175,587.9584964644584,459.0,495.45734232250146
Medium,1,57474,649.0473779448098,502.0,554.3381969846193
