,coef,std_err,t,p_value
Intercept,87.46507932017069,1.6949887228883709,51.60216002565758,0.0
C(hour)[T.1],17.179440835967668,8.161966984122664,2.1048162617401593,0.035307989703118166
C(hour)[T.2],20.150077835901513,8.516650269831235,2.365962813722631,0.017983772154917334
C(hour)[T.3],61.115765010391634,8.783272214370525,6.958200032830435,3.452265505001226e-12
C(hour)[T.4],61.00620231163818,8.989634558891966,6.786282791806568,1.1523471838509694e-11
C(hour)[T.5],80.24337245567146,9.126357119538158,8.792486575380934,1.469037339329837e-18
C(hour)[T.6],151.71009177123418,8.826742188734688,17.18755215994156,3.496313219580769e-66
C(hour)[T.7],128.49666612458793,8.296994064073026,15.487134874664287,4.4100118762409093e-54
C(hour)[T.8],138.25888761287604,7.721873191106574,17.904837879507188,1.1607501607452234e-71
C(hour)[T.9],124.78388310811361,7.383128924841273,16.901219574842557,4.6630804568178594e-64
C(hour)[T.10],110.78396761538579,7.2974099348999,15.181272342336273,4.882223889785808e-52
C(hour)[T.11],150.80106776169083,7.258142430268825,20.776812967020476,7.979916298097402e-96
C(hour)[T.12],173.43126721775948,7.248451446704887,23.9266646804402,2.0269746024703405e-126
C(hour)[T.13],204.3775082217729,7.258788982643887,28.155868521656895,3.1307921155867383e-174
C(hour)[T.14],258.56508331139725,7.2255202565445344,35.784977985107886,5.838647374020154e-280
C(hour)[T.15],341.28193671150024,7.238738113249285,47.14660640738493,0.0
C(hour)[T.16],356.0016135430265,7.278050956699047,48.91441618931598,0.0
C(hour)[T.17],401.3825935278588,7.29280486682408,55.0381644453152,0.0
C(hour)[T.18],411.54842241899934,7.3057737953788,56.33194155002726,0.0
C(hour)[T.19],223.97139965043948,7.316776765808953,30.610664616289807,1.6153168131648037e-205
C(hour)[T.20],101.25487126640486,7.3750280854858055,13.72942178561684,6.9363052004325885e-43
C(hour)[T.21],42.08117362454308,7.458470912619702,5.642064454973191,1.6814759272334828e-08
C(hour)[T.22],20.661017288568164,7.577145495669719,2.7267547258233034,0.0063963629919639225
C(hour)[T.23],6.32268276934776,7.7953629160667735,0.8110825419450685,0.4173188019242673
C(day_of_week)[T.1],-62.7435616947029,3.9308999789614534,-15.961627624847324,2.4736216370657572e-57
C(day_of_week)[T.2],-19.616192572651247,3.9231425394587265,-5.00012231912371,5.732053421698655e-07
C(day_of_week)[T.3],-23.182310580232496,3.9227082327059297,-5.909771822168143,3.428857593697396e-09
C(day_of_week)[T.4],-27.539202419494067,3.9037991858971166,-7.054461848084379,1.7357716041748168e-12
C(day_of_week)[T.5],-147.2489365895951,3.973095333498706,-37.06151607993956,4.2837139410149663e-300
C(day_of_week)[T.6],-155.9536399621031,4.002541009160003,-38.963658237403656,0.0
C(severity_tier_numeric)[T.2],151.58174634225264,2.8265873950706952,53.62712173930906,0.0
C(severity_tier_numeric)[T.3],435.0643312113978,2.7187083996279644,160.02611066009626,0.0
C(borough)[T.BROOKLYN],-77.45621223611941,2.428298013654877,-31.89732553441355,5.927625015032419e-223
C(borough)[T.MANHATTAN],89.42430562710884,2.378468126171256,37.59743704073083,9.342466991835415e-309
C(borough)[T.QUEENS],-22.875192695867074,2.2688077699236975,-10.082472829611472,6.652303614838687e-24
C(borough)[T.RICHMOND / STATEN ISLAND],-119.8751696441976,3.627629914278322,-33.045038352002194,4.1622216100493236e-239
C(high_black_borough)[T.1],140.79113603311677,2.152977104834655,65.39369866821194,0.0
median_income_borough,0.0021875575082887615,5.797260197348172e-05,37.734333699381146,0.0
pct_white_borough,-28.75511496658295,0.8204864640869124,-35.04642212298213,1.2469921020398124e-268
pct_black_borough,40.936374774861356,0.682839624392416,59.95020399011868,0.0
pct_hispanic_borough,104.93667731035845,1.8474050136700892,56.80220446186258,0.0
