,coef,std_err,t,p_value
Intercept,206.16364930423936,11.960451440537916,17.237112690034653,1.4877091916793068e-66
C(hour)[T.1],19.529311059043664,8.177712783941933,2.3881140821419113,0.0169355975423692
C(hour)[T.2],21.761760258542683,8.526912813884614,2.55212651208388,0.01070717361939139
C(hour)[T.3],62.79376669147347,8.802166144966447,7.133899276302837,9.774768519377404e-13
C(hour)[T.4],62.14058865070948,9.01555235491063,6.892599166912106,5.487181856797101e-12
C(hour)[T.5],79.3588333567127,9.15228135207334,8.670934634099169,4.3032235890194884e-18
C(hour)[T.6],151.148117946372,8.872061769378314,17.03641406871802,4.677623684093612e-65
C(hour)[T.7],129.63815416987723,8.329835857713542,15.563110292243096,1.350906597483042e-54
C(hour)[T.8],139.88864948480892,7.743290164828639,18.065789413421097,6.385675227097048e-73
C(hour)[T.9],127.69299236587113,7.400898137648892,17.253715696516327,1.116493676297794e-66
C(hour)[T.10],113.9653864773621,7.311407301132105,15.58733931560831,9.250719313550654e-55
C(hour)[T.11],155.04739963513012,7.273738192077561,21.31605448818673,9.307466770602673e-101
C(hour)[T.12],177.39834283879307,7.265929104189699,24.41509410496466,1.5151641538536175e-131
C(hour)[T.13],208.27944113284337,7.276076456126254,28.625240868308616,5.205478333135818e-180
C(hour)[T.14],263.48205903392085,7.246027981902392,36.36227457194356,5.672123634094374e-289
C(hour)[T.15],345.9508130402191,7.2597382372495805,47.65334530453894,0.0
C(hour)[T.16],360.54338949192373,7.300166928838089,49.38837604762945,0.0
C(hour)[T.17],406.6442799591001,7.314318755935014,55.59564650216251,0.0
C(hour)[T.18],416.4802428943416,7.3296313863792095,56.82144448195506,0.0
C(hour)[T.19],227.88386132546253,7.336313175245031,31.0624500184115,1.4815638145002376e-211
C(hour)[T.20],104.20591460230288,7.394034572985571,14.093241460220344,4.2968156160704423e-45
C(hour)[T.21],43.515537312786144,7.479175696650012,5.818226376507926,5.9525559680046485e-09
C(hour)[T.22],22.87351892002377,7.600906116242379,3.009314754085087,0.0026185585893164147
C(hour)[T.23],8.01171753780476,7.814278502120516,1.025266444705121,0.3052381748003627
C(day_of_week)[T.1],-61.9298375478842,3.9412158130322243,-15.713384012898723,1.2781542365995736e-55
C(day_of_week)[T.2],-17.95687854724614,3.9324332296145346,-4.566353069141956,4.964470247687935e-06
C(day_of_week)[T.3],-21.325040444945852,3.933193202485973,-5.421813612274975,5.90352687115747e-08
C(day_of_week)[T.4],-26.587910309829397,3.91427403218643,-6.792552103200081,1.1033742001377028e-11
C(day_of_week)[T.5],-147.51066958868384,3.98378109740034,-37.02780498781511,1.511274636182843e-299
C(day_of_week)[T.6],-155.25683761602082,4.013645752493204,-38.682247310834065,0.0
C(severity_tier_numeric)[T.2],152.64120797319225,2.837685108669183,53.790749194429786,0.0
C(severity_tier_numeric)[T.3],436.9734143093411,2.720675924547881,160.61207818493006,0.0
C(borough)[T.BROOKLYN],26.913267504064827,4.214243849334461,6.386262510252019,1.701956237964017e-10
C(borough)[T.MANHATTAN],123.65884962295256,4.1326078082380775,29.92271596071781,1.7422400711476276e-196
C(borough)[T.QUEENS],-36.40124260119684,4.463629347746436,-8.155077351925476,3.5006476924858523e-16
C(borough)[T.RICHMOND / STATEN ISLAND],-95.69911644804122,6.572880389141107,-14.55969236959543,5.23109997292706e-48
C(high_black_zip)[T.1],24.189224105207664,4.445175021867891,5.441680920595832,5.2814530960900754e-08
median_income,0.0001786941013890735,4.865969480848082e-05,3.672322691138811,0.00024039075837625523
pct_white,-32.902871298615125,11.855144613812145,-2.775408682934224,0.005513523070246492
pct_black,143.34128448018285,12.031609909083372,11.913724394602093,1.0182855593163694e-32
pct_hispanic,193.92372703990404,10.071380680320056,19.254929705798926,1.4130256686010347e-82
