ID,Name,State,2020 Mean,Rank,1901-2000 Mean
IN-045,Fountain County,Indiana,39,70,38.05
IN-047,Franklin County,Indiana,44.62,88,40.67
IN-049,Fulton County,Indiana,32.44,27,37.61
IN-051,Gibson County,Indiana,53.37,114,43.32
IN-053,Grant County,Indiana,36.12,45,37.75
IN-055,Greene County,Indiana,51.28,113,42.81
IN-057,Hamilton County,Indiana,40.27,78,38.15
IN-059,Hancock County,Indiana,44.01,96,39.4
IN-061,Harrison County,Indiana,55.97,120,44.55
IN-063,Hendricks County,Indiana,42.39,87,39.56
IN-065,Henry County,Indiana,42.93,88,39.81
IN-067,Howard County,Indiana,37.1,54,37.74
IN-069,Huntington County,Indiana,36.52,58,37.21
IN-071,Jackson County,Indiana,47.6,98,42.47
IN-073,Jasper County,Indiana,33.4,33,36.53
IN-075,Jay County,Indiana,40.76,85,37.73
IN-077,Jefferson County,Indiana,47.8,88,43.33
IN-079,Jennings County,Indiana,45.05,73,42.75
IN-081,Johnson County,Indiana,43.06,81,40.77
IN-083,Knox County,Indiana,51.59,114,42.76
IN-085,Kosciusko County,Indiana,31.74,22,36.35
IN-087,LaGrange County,Indiana,32.41,32,34.99
IN-089,Lake County,Indiana,38.96,81,36.03
IN-091,LaPorte County,Indiana,35.97,51,37.14
IN-093,Lawrence County,Indiana,53.59,115,44.06
IN-095,Madison County,Indiana,42.56,94,38.53
IN-097,Marion County,Indiana,41.07,76,39.21
IN-099,Marshall County,Indiana,32.98,29,37.15
IN-101,Martin County,Indiana,54.79,118,44.03
IN-103,Miami County,Indiana,32.63,24,37.77
IN-105,Monroe County,Indiana,46.37,83,42.93
IN-107,Montgomery County,Indiana,40.55,80,38.76
IN-109,Morgan County,Indiana,43.27,84,40.71
IN-111,Newton County,Indiana,35.79,53,36.85
IN-113,Noble County,Indiana,32,25,35.61
IN-115,Ohio County,Indiana,50.13,112,41.59
IN-117,Orange County,Indiana,54.89,114,44.97
IN-119,Owen County,Indiana,44.09,79,42.03
IN-121,Parke County,Indiana,41.04,81,38.91
IN-123,Perry County,Indiana,56.18,119,45.45
IN-125,Pike County,Indiana,52.02,111,43.67
IN-127,Porter County,Indiana,38.69,83,36.51
IN-129,Posey County,Indiana,56.06,122,43.95
IN-131,Pulaski County,Indiana,32.4,27,37.11
IN-133,Putnam County,Indiana,41.47,70,40.5
IN-135,Randolph County,Indiana,42.14,88,38.86
IN-137,Ripley County,Indiana,47.15,94,42.45
IN-139,Rush County,Indiana,43.28,82,40.52
IN-141,St. Joseph County,Indiana,34.55,42,37.2
IN-143,Scott County,Indiana,47.66,94,42.65
IN-145,Shelby County,Indiana,44.31,89,40.7
IN-147,Spencer County,Indiana,56.46,121,44.68
IN-149,Starke County,Indiana,34.12,39,37.29
IN-151,Steuben County,Indiana,31.89,26,35.03
IN-153,Sullivan County,Indiana,46.87,103,41.03
IN-155,Switzerland County,Indiana,50.49,110,42.32
IN-157,Tippecanoe County,Indiana,36.26,48,38.03
IN-159,Tipton County,Indiana,41.06,88,37.61
IN-161,Union County,Indiana,44.15,88,40.29
IN-163,Vanderburgh County,Indiana,55.17,118,43.93
IN-165,Vermillion County,Indiana,42.07,97,37.98
IN-167,Vigo County,Indiana,43.55,94,39.66
IN-169,Wabash County,Indiana,32.99,25,37.52
IN-171,Warren County,Indiana,37.63,64,37.55
IN-173,Warrick County,Indiana,55.24,119,43.84
IN-175,Washington County,Indiana,53.49,115,44.21
IN-177,Wayne County,Indiana,44.25,97,39.6
IN-179,Wells County,Indiana,38.6,77,36.76
IN-181,White County,Indiana,33.48,31,36.86
IN-183,Whitley County,Indiana,33.14,33,36.49
IA-001,Adair County,Iowa,23.67,10,32.66
IA-003,Adams County,Iowa,26.54,16,33.19
IA-005,Allamakee County,Iowa,34.88,81,32.81
IA-007,Appanoose County,Iowa,34.54,61,35.19
IA-009,Audubon County,Iowa,21.36,3,31.69
IA-011,Benton County,Iowa,34.55,77,33.21
IA-013,Black Hawk County,Iowa,36.73,90,33.43
IA-015,Boone County,Iowa,24.16,19,31.43
IA-017,Bremer County,Iowa,36.66,92,33.23
IA-019,Buchanan County,Iowa,36.9,89,33.18
IA-021,Buena Vista County,Iowa,22.89,17,28.79
IA-023,Butler County,Iowa,33.46,72,32.8
IA-025,Calhoun County,Iowa,22.95,12,30.86
IA-027,Carroll County,Iowa,21.67,8,31.11
IA-029,Cass County,Iowa,21.93,9,31.31
IA-031,Cedar County,Iowa,38.52,91,35.15
IA-033,Cerro Gordo County,Iowa,29.57,45,31.76
IA-035,Cherokee County,Iowa,23.16,21,28.18
IA-037,Chickasaw County,Iowa,35.72,90,32.44
IA-039,Clarke County,Iowa,30.22,42,33.63
IA-041,Clay County,Iowa,20.69,7,28.61
IA-043,Clayton County,Iowa,39.22,108,33.2
IA-045,Clinton County,Iowa,39.06,94,34.95
IA-047,Crawford County,Iowa,22.64,11,29.8
IA-049,Dallas County,Iowa,26.16,23,31.78
IA-051,Davis County,Iowa,34.95,60,35.23
IA-053,Decatur County,Iowa,32.12,55,34.2
IA-055,Delaware County,Iowa,38.06,97,33.32
IA-057,Des Moines County,Iowa,32.65,43,35.25
IA-059,Dickinson County,Iowa,21.62,10,28.2
IA-061,Dubuque County,Iowa,38.55,104,33.39
IA-063,Emmet County,Iowa,23.03,15,29.37
IA-065,Fayette County,Iowa,36.54,87,33.33
IA-067,Floyd County,Iowa,32.56,70,32.13
IA-069,Franklin County,Iowa,29.67,40,31.85
IA-071,Fremont County,Iowa,24.14,10,32.48
IA-073,Greene County,Iowa,23.14,12,31.48
IA-075,Grundy County,Iowa,34.91,79,33.05
IA-077,Guthrie County,Iowa,22.28,7,31.68
IA-079,Hamilton County,Iowa,25.46,21,30.95
IA-081,Hancock County,Iowa,27.92,37,31.31
IA-083,Hardin County,Iowa,29.67,48,31.94
IA-085,Harrison County,Iowa,21.46,12,29.32
IA-087,Henry County,Iowa,34.38,62,35.28
IA-089,Howard County,Iowa,32.64,63,32.63
IA-091,Humboldt County,Iowa,25.24,23,30.52
IA-093,Ida County,Iowa,23.21,19,28.85
IA-095,Iowa County,Iowa,32.51,56,33.78
IA-097,Jackson County,Iowa,38.43,97,34.06
IA-099,Jasper County,Iowa,30.89,55,32.97
IA-101,Jefferson County,Iowa,36.26,74,34.92
IA-103,Johnson County,Iowa,35.71,85,33.76
IA-105,Jones County,Iowa,36.86,87,33.64
IA-107,Keokuk County,Iowa,34.6,76,34
IA-109,Kossuth County,Iowa,25.52,24,30.21
IA-111,Lee County,Iowa,34.5,58,35.54
IA-113,Linn County,Iowa,36.57,93,33.03
IA-115,Louisa County,Iowa,35.23,71,34.48
IA-117,Lucas County,Iowa,33.17,60,33.79
IA-119,Lyon County,Iowa,18.71,10,26.36
IA-121,Madison County,Iowa,28.05,27,32.85
IA-123,Mahaska County,Iowa,34.16,74,33.79
IA-125,Marion County,Iowa,33.96,72,33.5
IA-127,Marshall County,Iowa,31.39,66,32.52
IA-129,Mills County,Iowa,22.84,8,31.75
IA-131,Mitchell County,Iowa,30.2,51,32
IA-133,Monona County,Iowa,21.67,15,28.54
IA-135,Monroe County,Iowa,35.26,74,34.24
IA-137,Montgomery County,Iowa,24.63,11,32.53
IA-139,Muscatine County,Iowa,35.47,77,34.52
IA-141,O&#039;Brien County,Iowa,20.19,10,28.07
IA-143,Osceola County,Iowa,20.21,7,27.74
IA-145,Page County,Iowa,24.52,7,33.41
IA-147,Palo Alto County,Iowa,22.34,11,29.61
IA-149,Plymouth County,Iowa,18.93,9,27.16
IA-151,Pocahontas County,Iowa,22.97,15,29.95
IA-153,Polk County,Iowa,28.75,39,31.95
IA-155,Pottawattamie County,Iowa,21.53,8,30.9
IA-157,Poweshiek County,Iowa,32.85,63,34.01
IA-159,Ringgold County,Iowa,32.81,63,34.58
IA-161,Sac County,Iowa,21.8,13,29.56
IA-163,Scott County,Iowa,39.2,97,34.9
IA-165,Shelby County,Iowa,21.88,9,30.88
IA-167,Sioux County,Iowa,17.5,7,26.74
IA-169,Story County,Iowa,26.1,26,31.73
IA-171,Tama County,Iowa,34.73,71,34.04
IA-173,Taylor County,Iowa,29.2,26,34.37
IA-175,Union County,Iowa,28.15,25,33.88
IA-177,Van Buren County,Iowa,32.99,51,35.08
IA-179,Wapello County,Iowa,36.86,84,34.49
IA-181,Warren County,Iowa,32.5,64,32.84
IA-183,Washington County,Iowa,36.75,85,34.29
IA-185,Wayne County,Iowa,33.49,56,35.02
IA-187,Webster County,Iowa,24.63,18,31.1
IA-189,Winnebago County,Iowa,28.11,36,31.32
IA-191,Winneshiek County,Iowa,34.9,80,33.16
IA-193,Woodbury County,Iowa,21.61,16,27.67
IA-195,Worth County,Iowa,30.42,52,31.9
IA-197,Wright County,Iowa,26.99,30,30.99
KS-001,Allen County,Kansas,36.21,47,39.18
KS-003,Anderson County,Kansas,34.47,41,39.09
KS-005,Atchison County,Kansas,38.38,86,35.12
KS-007,Barber County,Kansas,27.77,76,26.02
KS-009,Barton County,Kansas,24.64,61,24.8
KS-011,Bourbon County,Kansas,39.98,66,40.3
KS-013,Brown County,Kansas,33.69,62,34.38
KS-015,Butler County,Kansas,34.59,71,33.27
KS-017,Chase County,Kansas,33.45,66,32.7
KS-019,Chautauqua County,Kansas,41.98,97,36.84
KS-021,Cherokee County,Kansas,48.62,98,41.64
KS-023,Cheyenne County,Kansas,12.45,6,18.82
KS-025,Clark County,Kansas,22.66,71,22.33
KS-027,Clay County,Kansas,29.4,62,30.19
KS-029,Cloud County,Kansas,28.59,72,28.06
KS-031,Coffey County,Kansas,30.87,32,36.94
KS-033,Comanche County,Kansas,25.42,81,24.11
KS-035,Cowley County,Kansas,35.5,77,33.74
KS-037,Crawford County,Kansas,44.56,87,41
KS-039,Decatur County,Kansas,15.06,13,20.86
KS-041,Dickinson County,Kansas,29.81,62,30.69
KS-043,Doniphan County,Kansas,39.71,94,35.38
KS-045,Douglas County,Kansas,35.73,63,36.22
KS-047,Edwards County,Kansas,26.9,104,22.75
KS-049,Elk County,Kansas,38.27,81,36.45
KS-051,Ellis County,Kansas,22.69,58,23.1
KS-053,Ellsworth County,Kansas,27.31,71,26.68
KS-055,Finney County,Kansas,15.81,35,18.76
KS-057,Ford County,Kansas,24.17,85,21.65
KS-059,Franklin County,Kansas,33.5,40,37.38
KS-061,Geary County,Kansas,33.61,76,32.59
KS-063,Gove County,Kansas,15.15,20,19.76
KS-065,Graham County,Kansas,16.23,23,21.86
KS-067,Grant County,Kansas,13.63,21,17.67
KS-069,Gray County,Kansas,18.48,49,20.05
KS-071,Greeley County,Kansas,13.49,26,16.91
KS-073,Greenwood County,Kansas,36.05,70,35.3
KS-075,Hamilton County,Kansas,12.62,21,16.48
KS-077,Harper County,Kansas,30.32,80,28.42
KS-079,Harvey County,Kansas,28.29,44,31.05
KS-081,Haskell County,Kansas,16.1,33,19.23
KS-083,Hodgeman County,Kansas,22.72,84,20.62
KS-085,Jackson County,Kansas,33.07,62,34.17
KS-087,Jefferson County,Kansas,35.71,68,35.41
KS-089,Jewell County,Kansas,23.11,45,26.07
KS-091,Johnson County,Kansas,36.43,60,37.1
KS-093,Kearny County,Kansas,15.97,46,17.41
KS-095,Kingman County,Kansas,30.12,75,28.01
KS-097,Kiowa County,Kansas,26.42,92,23.67
KS-099,Labette County,Kansas,48.89,109,40.18
KS-101,Lane County,Kansas,17.37,43,19.69
KS-103,Leavenworth County,Kansas,35.7,67,35.74
KS-105,Lincoln County,Kansas,26.75,73,25.78
KS-107,Linn County,Kansas,37.03,47,40.03
KS-109,Logan County,Kansas,13.91,16,18.38
KS-111,Lyon County,Kansas,30.66,38,34.78
KS-113,McPherson County,Kansas,27.62,54,29.42
KS-115,Marion County,Kansas,27.78,38,31.75
KS-117,Marshall County,Kansas,31.02,59,31.37
KS-119,Meade County,Kansas,20.13,65,20.43
KS-121,Miami County,Kansas,37.96,60,38.77
KS-123,Mitchell County,Kansas,25.79,64,25.53
KS-125,Montgomery County,Kansas,45.81,108,37.84
KS-127,Morris County,Kansas,29.29,41,33.09
KS-129,Morton County,Kansas,12.74,22,16.94
KS-131,Nemaha County,Kansas,30.4,51,33.08
KS-133,Neosho County,Kansas,40.83,70,39.77
KS-135,Ness County,Kansas,20.34,61,21
KS-137,Norton County,Kansas,16.21,16,22
KS-139,Osage County,Kansas,31.38,37,35.66
KS-141,Osborne County,Kansas,23.74,64,23.86
KS-143,Ottawa County,Kansas,28.45,73,27.82
KS-145,Pawnee County,Kansas,25.35,94,22.93
KS-147,Phillips County,Kansas,17.62,19,23.15
KS-149,Pottawatomie County,Kansas,29.87,45,32.98
KS-151,Pratt County,Kansas,26.9,79,25.31
KS-153,Rawlins County,Kansas,13.02,10,19.83
KS-155,Reno County,Kansas,28.45,71,27.58
KS-157,Republic County,Kansas,23.68,33,27.9
KS-159,Rice County,Kansas,27.95,79,26.76
KS-161,Riley County,Kansas,31.31,64,31.74
KS-163,Rooks County,Kansas,20.02,40,22.99
KS-165,Rush County,Kansas,23.34,71,22.8
KS-167,Russell County,Kansas,24.37,68,24.49
KS-169,Saline County,Kansas,27.99,68,28.8
KS-171,Scott County,Kansas,15.28,28,18.74
KS-173,Sedgwick County,Kansas,29.32,52,30.65
KS-175,Seward County,Kansas,16.89,40,19.21
KS-177,Shawnee County,Kansas,33.63,65,34.75
KS-179,Sheridan County,Kansas,14.23,11,20.81
KS-181,Sherman County,Kansas,14.75,24,18.22
KS-183,Smith County,Kansas,20.4,36,23.92
KS-185,Stafford County,Kansas,29.3,101,24.83
KS-187,Stanton County,Kansas,11.85,16,16.57
KS-189,Stevens County,Kansas,15.56,38,18.15
KS-191,Sumner County,Kansas,31.43,65,31.13
KS-193,Thomas County,Kansas,14.42,16,19.53
KS-195,Trego County,Kansas,18.15,34,21.51
KS-197,Wabaunsee County,Kansas,31.59,45,34.22
KS-199,Wallace County,Kansas,11.38,4,17.61
KS-201,Washington County,Kansas,27.42,45,29.63
KS-203,Wichita County,Kansas,15.69,40,17.81
KS-205,Wilson County,Kansas,37.48,66,37.71
KS-207,Woodson County,Kansas,33.6,42,37.47
KS-209,Wyandotte County,Kansas,33.84,51,36.19
KY-001,Adair County,Kentucky,63.65,123,50.23
KY-003,Allen County,Kentucky,61.26,123,50.21
KY-005,Anderson County,Kentucky,50.91,93,45.73
KY-007,Ballard County,Kentucky,55.36,109,46.35
KY-009,Barren County,Kentucky,61.49,122,50.46
KY-011,Bath County,Kentucky,59.18,123,45.85
KY-013,Bell County,Kentucky,68.7,130,51.67
KY-015,Boone County,Kentucky,49.59,112,41.5
KY-017,Bourbon County,Kentucky,53.17,112,44.84
KY-019,Boyd County,Kentucky,50.26,115,42.02
KY-021,Boyle County,Kentucky,51.91,89,47.91
KY-023,Bracken County,Kentucky,52.36,119,44.09
KY-025,Breathitt County,Kentucky,59.54,128,46.38
KY-027,Breckinridge County,Kentucky,56.98,117,46.75
KY-029,Bullitt County,Kentucky,54.63,115,45.46
KY-031,Butler County,Kentucky,59.34,120,48
KY-033,Caldwell County,Kentucky,56.5,107,47.37
KY-035,Calloway County,Kentucky,57.77,104,48.97
KY-037,Campbell County,Kentucky,50.49,119,41.81
KY-039,Carlisle County,Kentucky,57.73,112,47.21
KY-041,Carroll County,Kentucky,50.44,105,42.76
KY-043,Carter County,Kentucky,50.5,115,42.22
KY-045,Casey County,Kentucky,62.08,123,49.79
KY-047,Christian County,Kentucky,55.28,100,48.19
KY-049,Clark County,Kentucky,56.28,114,45.85
KY-051,Clay County,Kentucky,65.65,130,48.87
KY-053,Clinton County,Kentucky,68.69,128,52.19
KY-055,Crittenden County,Kentucky,57.8,118,46.27
KY-057,Cumberland County,Kentucky,66.4,127,51.17
KY-059,Daviess County,Kentucky,56.58,121,44.84
KY-061,Edmonson County,Kentucky,62.48,122,49.83
KY-063,Elliott County,Kentucky,54.36,121,43.29
KY-065,Estill County,Kentucky,61.83,124,46.11
KY-067,Fayette County,Kentucky,51.49,103,45.02
KY-069,Fleming County,Kentucky,55.62,120,44.83
KY-071,Floyd County,Kentucky,56.6,128,43.68
KY-073,Franklin County,Kentucky,50.6,100,44.64
KY-075,Fulton County,Kentucky,58.93,112,48.94
KY-077,Gallatin County,Kentucky,50.73,113,42.36
KY-079,Garrard County,Kentucky,56.72,113,46.77
KY-081,Grant County,Kentucky,50.31,110,42.79
KY-083,Graves County,Kentucky,58.61,111,49.06
KY-085,Grayson County,Kentucky,60.46,119,48.99
KY-087,Green County,Kentucky,58.09,113,49.06
KY-089,Greenup County,Kentucky,46.78,104,41.7
KY-091,Hancock County,Kentucky,57.27,120,45.75
KY-093,Hardin County,Kentucky,57.66,120,46.97
KY-095,Harlan County,Kentucky,70.05,130,52.05
KY-097,Harrison County,Kentucky,51.48,113,43.54
KY-099,Hart County,Kentucky,60.64,117,49.32
KY-101,Henderson County,Kentucky,54.4,115,44.42
KY-103,Henry County,Kentucky,51.42,105,44.08
KY-105,Hickman County,Kentucky,59.11,115,48.29
KY-107,Hopkins County,Kentucky,53.2,104,45.92
KY-109,Jackson County,Kentucky,65.74,129,48.31
KY-111,Jefferson County,Kentucky,54.09,116,44.15
KY-113,Jessamine County,Kentucky,50.78,98,45.5
KY-115,Johnson County,Kentucky,53.69,120,43.78
KY-117,Kenton County,Kentucky,49.98,116,41.78
KY-119,Knott County,Kentucky,59.64,127,45.97
KY-121,Knox County,Kentucky,69.59,130,50.25
KY-123,Larue County,Kentucky,56.75,111,48.09
KY-125,Laurel County,Kentucky,68.63,130,49.36
KY-127,Lawrence County,Kentucky,52.03,118,43.27
KY-129,Lee County,Kentucky,61.64,124,46.61
KY-131,Leslie County,Kentucky,64.08,128,48.89
KY-133,Letcher County,Kentucky,61.87,130,46.63
KY-135,Lewis County,Kentucky,49.49,107,43.46
KY-137,Lincoln County,Kentucky,60.6,123,48.57
KY-139,Livingston County,Kentucky,57.53,114,47.39
KY-141,Logan County,Kentucky,59.98,117,48.39
KY-143,Lyon County,Kentucky,56.89,106,48.1
KY-145,McCracken County,Kentucky,56.72,109,47.46
KY-147,McCreary County,Kentucky,66.26,127,50.52
KY-149,McLean County,Kentucky,53.29,111,45.01
KY-151,Madison County,Kentucky,58.54,121,45.94
KY-153,Magoffin County,Kentucky,56.13,125,44.49
KY-155,Marion County,Kentucky,54.64,103,48.5
KY-157,Marshall County,Kentucky,56.94,105,48.2
KY-159,Martin County,Kentucky,57.34,124,45.05
KY-161,Mason County,Kentucky,51.07,107,44.06
KY-163,Meade County,Kentucky,56.8,118,45.59
KY-165,Menifee County,Kentucky,61.79,126,46.4
KY-167,Mercer County,Kentucky,50.33,87,46.46
KY-169,Metcalfe County,Kentucky,60.98,119,50.2
KY-171,Monroe County,Kentucky,63.31,124,51.81
KY-173,Montgomery County,Kentucky,58.61,119,46.68
KY-175,Morgan County,Kentucky,57.7,126,44.65
KY-177,Muhlenberg County,Kentucky,55.97,116,46.67
KY-179,Nelson County,Kentucky,53.81,101,47.02
KY-181,Nicholas County,Kentucky,54.06,117,44.89
KY-183,Ohio County,Kentucky,57.71,122,46.37
KY-185,Oldham County,Kentucky,53.82,112,44.56
KY-187,Owen County,Kentucky,51.23,108,43.66
KY-189,Owsley County,Kentucky,62.28,126,47.24
KY-191,Pendleton County,Kentucky,51.15,117,43.24
KY-193,Perry County,Kentucky,61.31,128,47.33
KY-195,Pike County,Kentucky,61.81,129,44.3
KY-197,Powell County,Kentucky,61.85,124,46.51
KY-199,Pulaski County,Kentucky,67.9,129,49.82
KY-201,Robertson County,Kentucky,52.23,117,44.08
KY-203,Rockcastle County,Kentucky,68.02,129,49.29
KY-205,Rowan County,Kentucky,59.91,126,44.96
KY-207,Russell County,Kentucky,67.52,128,50.84
KY-209,Scott County,Kentucky,51.08,109,44.02
KY-211,Shelby County,Kentucky,52.5,105,45.51
KY-213,Simpson County,Kentucky,59.49,116,48.9
KY-215,Spencer County,Kentucky,52.6,98,46.59
KY-217,Taylor County,Kentucky,58.72,115,49.48
KY-219,Todd County,Kentucky,57.84,111,48.28
KY-221,Trigg County,Kentucky,55.94,100,48.71
KY-223,Trimble County,Kentucky,50.39,101,43.4
KY-225,Union County,Kentucky,55.8,118,44.87
KY-227,Warren County,Kentucky,59.82,118,49.04
KY-229,Washington County,Kentucky,52.09,92,47.36
KY-231,Wayne County,Kentucky,66.52,127,50.78
KY-233,Webster County,Kentucky,55.08,110,45.3
KY-235,Whitley County,Kentucky,69.48,130,50.15
KY-237,Wolfe County,Kentucky,59.96,127,45.94
KY-239,Woodford County,Kentucky,50.28,96,45.11
LA-001,Acadia Parish,Louisiana,62.56,81,58.37
LA-003,Allen Parish,Louisiana,54.99,49,58.83
LA-005,Ascension Parish,Louisiana,66.14,89,60.52
LA-007,Assumption Parish,Louisiana,54.91,39,61.21
LA-009,Avoyelles Parish,Louisiana,69.85,118,57.5
LA-011,Beauregard Parish,Louisiana,60.01,82,56.95
LA-013,Bienville Parish,Louisiana,70.02,121,53.23
LA-015,Bossier Parish,Louisiana,67.87,124,49.69
LA-017,Caddo Parish,Louisiana,64.05,118,48.43
LA-019,Calcasieu Parish,Louisiana,58.24,65,57.46
LA-021,Caldwell Parish,Louisiana,80.46,129,54.52
LA-023,Cameron Parish,Louisiana,57.74,65,56.86
LA-025,Catahoula Parish,Louisiana,75.23,126,55.68
LA-027,Claiborne Parish,Louisiana,70.01,124,52.33
LA-029,Concordia Parish,Louisiana,68.98,115,56.25
LA-031,De Soto Parish,Louisiana,66.62,120,50.02
LA-033,East Baton Rouge Parish,Louisiana,64.18,86,60.34
LA-035,East Carroll Parish,Louisiana,72.26,127,53.27
LA-037,East Feliciana Parish,Louisiana,61.82,61,61.7
LA-039,Evangeline Parish,Louisiana,64.54,88,58.9
LA-041,Franklin Parish,Louisiana,79.24,130,54.02
LA-043,Grant Parish,Louisiana,80.15,129,55.69
LA-045,Iberia Parish,Louisiana,62.95,79,58.61
LA-047,Iberville Parish,Louisiana,64.46,84,59.29
LA-049,Jackson Parish,Louisiana,73.86,127,54.37
LA-051,Jefferson Parish,Louisiana,66.63,91,61.45
LA-053,Jefferson Davis Parish,Louisiana,57.81,56,58.57
LA-055,Lafayette Parish,Louisiana,65.88,96,58.75
LA-057,Lafourche Parish,Louisiana,56.16,42,61.84
LA-059,La Salle Parish,Louisiana,75.69,125,56.22
LA-061,Lincoln Parish,Louisiana,70.04,119,53.12
LA-063,Livingston Parish,Louisiana,68.59,94,61.81
LA-065,Madison Parish,Louisiana,73.61,128,53.41
LA-067,Morehouse Parish,Louisiana,73.37,128,53.29
LA-069,Natchitoches Parish,Louisiana,78.89,130,52.96
LA-071,Orleans Parish,Louisiana,63.53,76,60.85
LA-073,Ouachita Parish,Louisiana,72.68,128,53.4
LA-075,Plaquemines Parish,Louisiana,61.87,71,61.05
LA-077,Pointe Coupee Parish,Louisiana,62.52,81,59.13
LA-079,Rapides Parish,Louisiana,77.15,125,57.1
LA-081,Red River Parish,Louisiana,70.97,125,51.18
LA-083,Richland Parish,Louisiana,76.41,129,53.63
LA-085,Sabine Parish,Louisiana,73.16,126,51.74
LA-087,St. Bernard Parish,Louisiana,62.67,74,61.08
LA-089,St. Charles Parish,Louisiana,66.27,88,61.48
LA-091,St. Helena Parish,Louisiana,64.1,69,63.02
LA-093,St. James Parish,Louisiana,60.06,62,60.98
LA-095,St. John the Baptist Parish,Louisiana,65.97,87,60.9
LA-097,St. Landry Parish,Louisiana,67.48,105,58.88
LA-099,St. Martin Parish,Louisiana,63.3,84,59.28
LA-101,St. Mary Parish,Louisiana,56.91,52,60.03
LA-103,St. Tammany Parish,Louisiana,65.81,84,61.48
LA-105,Tangipahoa Parish,Louisiana,66.7,82,62.71
LA-107,Tensas Parish,Louisiana,75.28,128,54.47
LA-109,Terrebonne Parish,Louisiana,48.62,15,61.85
LA-111,Union Parish,Louisiana,71.54,126,52.77
LA-113,Vermilion Parish,Louisiana,59.5,70,57.98
LA-115,Vernon Parish,Louisiana,74.12,120,55.64
LA-117,Washington Parish,Louisiana,70.4,96,62.2
LA-119,Webster Parish,Louisiana,68.31,124,50.97
LA-121,West Baton Rouge Parish,Louisiana,63.52,85,59.2
LA-123,West Carroll Parish,Louisiana,72.63,127,53.31
LA-125,West Feliciana Parish,Louisiana,60.88,69,59.81
LA-127,Winn Parish,Louisiana,78.78,130,55.34
ME-001,Androscoggin County,Maine,46.61,83,44.62
ME-003,Aroostook County,Maine,35.81,40,38
ME-005,Cumberland County,Maine,45.35,71,44.63
ME-007,Franklin County,Maine,44.99,68,44.21
ME-009,Hancock County,Maine,43.29,41,45.71
ME-011,Kennebec County,Maine,45.02,79,42.91
ME-013,Knox County,Maine,45.6,55,46.4
ME-015,Lincoln County,Maine,45.79,70,44.62
ME-017,Oxford County,Maine,45.23,76,43.79
ME-019,Penobscot County,Maine,40.34,47,41.73
ME-021,Piscataquis County,Maine,40.2,54,41.45
ME-023,Sagadahoc County,Maine,46.92,84,44.5
ME-025,Somerset County,Maine,39.68,50,41.24
ME-027,Waldo County,Maine,43.5,47,44.76
ME-029,Washington County,Maine,39.01,25,44.27
ME-031,York County,Maine,41.82,42,44.5
MD-001,Allegany County,Maryland,40.95,98,37.51
MD-003,Anne Arundel County,Maryland,58.32,127,42.45
MD-005,Baltimore County,Maryland,52.31,114,43.38
MD-009,Calvert County,Maryland,63.74,129,42.96
MD-011,Caroline County,Maryland,59.05,129,43.43
MD-013,Carroll County,Maryland,44.62,85,42.38
MD-015,Cecil County,Maryland,49.96,107,43.78
MD-017,Charles County,Maryland,59.87,129,42.22
MD-019,Dorchester County,Maryland,59.72,127,43.51
MD-021,Frederick County,Maryland,42.48,69,41.85
MD-023,Garrett County,Maryland,48.15,91,45.41
MD-025,Harford County,Maryland,48.93,102,43.73
MD-027,Howard County,Maryland,54.95,120,42.48
MD-029,Kent County,Maryland,47.13,99,42.85
MD-031,Montgomery County,Maryland,51.31,118,41.55
MD-033,Prince George&#039;s County,Maryland,60.81,128,42.29
MD-035,Queen Anne&#039;s County,Maryland,53.32,118,43
MD-037,St. Mary&#039;s County,Maryland,62,129,42.43
MD-039,Somerset County,Maryland,54.6,125,42.7
MD-041,Talbot County,Maryland,61.47,129,43.45
MD-043,Washington County,Maryland,38.58,62,39.14
MD-045,Wicomico County,Maryland,56.97,126,43.67
MD-047,Worcester County,Maryland,53.77,119,43.11
MD-510,Baltimore City,Maryland,58.57,124,42.87
MD-511,Washington,District of Columbia,59.43,128,41.6
MA-001,Barnstable County,Massachusetts,37.47,15,43.53
MA-003,Berkshire County,Massachusetts,40.44,27,45.49
MA-005,Bristol County,Massachusetts,42.25,40,44.59
MA-007,Dukes County,Massachusetts,38.24,20,42.92
MA-009,Essex County,Massachusetts,41.25,52,42.77
MA-011,Franklin County,Massachusetts,43.4,50,45
MA-013,Hampden County,Massachusetts,42.97,38,46.35
MA-015,Hampshire County,Massachusetts,43.29,43,45.78
MA-017,Middlesex County,Massachusetts,41.53,47,43.43
MA-019,Nantucket County,Massachusetts,37.37,29,41.67
MA-021,Norfolk County,Massachusetts,47.04,78,44.99
MA-023,Plymouth County,Massachusetts,42.21,37,45.07
MA-025,Suffolk County,Massachusetts,43.93,60,44.31
MA-027,Worcester County,Massachusetts,44.21,62,44.5
MI-001,Alcona County,Michigan,31.38,91,28.68
MI-003,Alger County,Michigan,40.86,121,32.27
MI-005,Allegan County,Michigan,37.21,90,34.24
MI-007,Alpena County,Michigan,34.54,119,29.04
MI-009,Antrim County,Michigan,40.85,126,31.57
MI-011,Arenac County,Michigan,32.7,111,28.4
MI-013,Baraga County,Michigan,36.49,99,32.3
MI-015,Barry County,Michigan,37.23,100,33.2
MI-017,Bay County,Michigan,32.28,98,28.97
MI-019,Benzie County,Michigan,36.25,110,31.52
