Severity Tier,High Black Population ZIP (Yes = 1),n,Mean,Median,Std. Dev
High,0,42358,444.33910949525466,384.0,313.16251303152865
High,1,44212,479.6402560390844,416.0,344.6189627312146
Medium,0,67175,587.9584964644583,459.0,495.4573423225015
Medium,1,57474,649.0473779448097,502.0,554.3381969846193
Low,0,74571,827.4038701371846,587.0,796.9335887339633
Low,1,77693,959.8199837823227,668.0,914.6194072808148
